,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
66,34,1,2,658,1,7,3,0,1,1,66,1,2,2,3,0,6074,22887,1,1,24,4,4,0,9,3,3,9,7,0,6
67,37,0,1,921,1,10,3,1,3,0,98,3,1,2,1,1,3452,17663,6,0,20,4,2,1,17,3,3,5,4,0,3
68,29,0,1,1246,0,19,3,0,3,1,77,2,2,0,3,2,8620,23757,1,0,14,3,3,2,10,3,3,10,7,0,4
69,34,0,1,1326,0,3,3,5,4,1,81,1,2,0,1,0,4759,15891,3,0,18,3,4,0,15,2,3,13,9,3,12
70,35,0,0,1180,1,2,2,1,2,1,90,3,2,3,4,2,5762,24442,2,0,14,3,3,1,15,6,3,7,7,1,7
71,34,1,1,699,1,6,1,1,2,1,83,3,1,1,1,0,2960,17102,2,0,11,3,3,0,8,2,3,4,2,1,3
72,31,0,0,587,0,2,4,0,4,0,57,3,3,0,3,2,9852,8935,1,1,19,3,1,1,10,5,2,10,8,9,6
73,36,0,0,427,1,8,3,0,1,0,63,4,3,7,1,1,11713,20335,9,0,14,3,1,1,10,2,3,8,7,0,5
74,52,0,1,621,0,3,4,3,3,1,31,2,4,4,1,1,16856,10084,1,0,11,3,1,0,34,3,4,34,6,1,16
75,55,1,1,267,0,13,4,3,1,1,85,4,4,0,3,0,13695,9277,6,1,17,3,3,0,24,2,2,19,7,3,8
76,38,0,1,1495,1,10,3,1,3,0,76,3,2,6,3,1,9824,22174,3,0,19,3,3,1,18,4,3,1,0,0,0
77,43,0,0,343,1,9,3,0,1,1,52,3,1,1,3,0,2438,24978,4,0,13,3,3,0,7,2,2,3,2,1,2
78,34,0,1,511,0,3,2,0,4,0,32,1,2,0,4,0,6029,25353,5,0,12,3,1,0,6,3,3,2,2,2,2
79,29,0,1,1389,1,21,4,0,2,0,51,4,3,3,1,2,9980,10195,1,0,11,3,3,1,10,1,3,10,9,8,8
80,22,0,0,457,1,26,2,5,2,0,85,2,1,1,3,1,2814,10293,1,1,14,3,2,0,4,2,2,4,2,1,3
81,47,1,2,719,0,27,2,0,2,0,77,4,2,0,3,0,6397,10339,4,1,12,3,4,0,8,2,3,5,4,1,3
82,45,0,1,1339,1,7,3,0,2,1,59,3,3,1,1,2,9724,18787,2,0,17,3,3,1,25,2,3,1,0,0,0
83,46,0,1,1485,1,18,3,1,3,0,87,3,2,3,3,2,4810,26314,2,0,14,3,3,1,19,5,2,10,7,0,8
84,30,0,0,1116,1,2,3,1,3,0,49,3,1,2,4,0,2564,7181,0,0,14,3,3,0,12,2,2,11,7,6,7
85,47,0,2,217,0,3,3,1,4,0,49,3,4,0,3,2,13770,10225,9,1,12,3,4,2,28,2,2,22,2,11,13
86,39,0,2,672,1,7,2,1,3,1,54,2,5,4,4,1,19272,21141,1,0,15,3,1,1,21,2,3,21,9,13,3
87,21,0,0,895,0,9,2,1,1,1,39,3,1,5,4,0,2610,2851,1,0,24,4,3,0,3,3,2,3,2,2,2
88,46,0,2,638,1,1,3,1,3,1,40,2,3,6,1,1,10673,3142,2,1,13,3,3,1,21,5,2,10,9,9,5
89,40,0,2,1395,1,26,3,1,2,0,54,3,2,1,2,2,5605,8504,1,0,11,3,1,1,20,2,3,20,7,2,13
90,29,0,1,332,2,17,3,5,2,1,51,2,3,8,1,0,7988,9769,1,0,13,3,1,0,10,3,2,10,9,0,9
91,30,0,1,201,1,5,3,2,4,0,84,3,1,1,1,2,3204,10415,5,0,14,3,4,1,8,3,3,3,2,2,2
92,28,0,1,1181,1,1,3,0,3,1,82,3,1,1,4,1,2044,5531,1,0,11,3,3,1,5,6,4,5,3,0,3
93,36,0,2,469,1,3,3,2,3,1,46,3,1,1,2,1,3692,9256,1,0,12,3,3,0,12,2,2,11,10,0,7
94,40,0,1,523,1,2,3,0,3,1,98,3,2,1,4,0,4661,22455,1,0,13,3,3,0,9,4,3,9,8,8,8
95,39,0,2,711,1,4,3,1,1,0,81,3,2,3,3,0,5042,3140,0,0,13,3,4,0,10,2,1,9,2,3,8
96,42,0,1,1128,1,13,3,1,2,1,95,4,2,6,1,1,5538,5696,5,0,18,3,3,2,10,2,2,0,0,0,0
97,54,0,1,431,1,7,4,1,4,0,68,3,2,1,4,1,6854,15696,4,0,15,3,2,1,14,2,2,7,1,1,7
98,50,0,1,854,0,1,4,1,4,0,68,3,5,4,4,2,19517,24118,3,0,11,3,3,1,32,3,2,7,0,0,6
99,45,0,1,549,1,8,4,5,4,1,75,3,2,1,4,1,3697,9278,9,0,14,3,1,2,12,3,3,10,9,9,8
100,33,0,1,1198,1,1,4,5,3,1,100,2,1,1,1,0,2799,3339,3,1,11,3,2,0,6,1,3,3,2,0,2
101,31,0,0,697,1,10,3,1,3,0,40,3,3,7,3,1,11031,26862,4,0,20,4,3,1,13,2,4,11,7,4,8
102,35,0,1,1370,1,27,4,0,4,1,49,3,2,3,3,1,6883,5151,2,0,16,3,2,1,17,3,3,7,7,0,7
103,58,0,0,350,0,2,3,1,2,1,52,3,4,4,2,2,16291,22577,4,0,22,4,4,1,37,0,2,16,9,14,14
104,38,0,2,216,1,23,3,0,4,1,44,2,3,3,3,0,9526,8787,0,0,21,4,2,0,10,2,3,9,7,1,8
105,27,0,1,975,1,7,3,1,4,0,55,2,2,6,1,0,6811,23398,8,0,19,3,1,0,9,2,1,7,6,0,7
106,44,0,1,477,1,7,4,1,1,0,42,2,3,6,4,1,10248,2094,3,0,14,3,4,1,24,4,3,22,6,5,17
107,39,0,1,613,1,6,1,1,4,1,42,2,3,6,1,1,9991,21457,4,0,15,3,1,1,9,5,3,7,7,1,7
108,36,0,0,301,0,15,4,3,4,1,88,1,2,0,4,2,5406,10436,1,0,24,4,1,1,15,4,2,15,12,11,11
109,36,0,1,884,0,1,4,0,2,0,73,3,2,0,3,0,6815,21447,6,0,13,3,1,0,15,5,3,1,0,0,0
110,44,1,2,920,1,24,3,0,4,1,43,3,1,2,3,2,3161,19920,3,1,22,4,4,1,19,0,1,1,0,0,0
111,29,0,1,694,1,1,3,0,4,0,87,2,4,7,4,2,16124,3423,3,0,14,3,2,2,9,2,2,7,7,1,7
112,40,0,2,530,1,1,4,0,3,1,78,2,4,6,2,1,13503,14115,1,0,22,4,4,1,22,3,2,22,3,11,11
113,49,0,0,1002,1,18,4,0,4,1,92,3,2,3,4,2,6804,23793,1,1,15,3,1,2,7,0,3,7,7,1,7
114,32,0,2,689,0,9,2,1,4,1,35,1,2,0,4,2,4668,22812,0,0,17,3,4,3,9,2,4,8,7,0,7
115,50,0,2,1421,1,2,3,1,4,0,30,3,4,4,1,1,17856,9490,2,0,22,4,3,1,32,3,3,2,2,2,2
116,30,0,2,721,1,1,2,1,3,0,58,3,2,2,4,0,4011,10781,1,0,23,4,4,0,12,2,3,12,8,3,7
117,33,0,1,516,1,8,5,0,4,1,69,3,2,6,3,0,6388,22049,2,1,17,3,1,0,14,6,3,0,0,0,0
118,33,0,1,575,1,25,3,0,4,1,44,2,2,3,2,0,4320,24152,1,0,13,3,4,0,5,2,3,5,3,0,2
119,26,1,1,950,0,4,4,3,4,1,48,2,2,0,4,0,5828,8450,1,1,12,3,2,0,8,0,3,8,7,7,4
120,47,0,1,983,1,2,2,1,1,0,65,3,2,3,4,2,5070,7389,5,0,13,3,3,3,20,2,3,5,0,0,4
121,26,0,1,474,1,3,3,0,1,0,89,3,1,1,4,1,2061,11133,1,0,21,4,1,0,1,5,3,1,0,0,0
122,44,0,0,981,1,5,3,0,3,1,90,2,1,2,3,0,3162,7973,3,0,14,3,4,0,7,5,3,5,2,0,3
123,30,0,1,1082,0,12,3,2,2,0,83,3,2,0,3,0,6577,19558,0,0,11,3,2,0,6,6,3,5,4,4,4
124,19,1,2,602,0,1,1,2,3,0,100,1,1,5,1,0,2325,20989,0,0,21,4,1,0,1,5,4,0,0,0,0
125,41,0,1,930,0,3,3,0,3,1,57,2,2,0,2,2,8938,12227,2,0,11,3,3,1,14,5,3,5,4,0,4
126,27,0,0,1277,1,8,5,0,1,1,87,1,1,2,3,1,4621,5869,1,0,19,3,4,3,3,4,3,3,2,1,2
127,25,0,1,141,0,3,1,5,3,1,98,3,2,0,1,1,4194,14363,1,1,18,3,4,0,5,3,3,5,3,0,3
128,46,0,1,1319,0,3,3,2,1,0,45,4,4,0,1,2,13225,7739,2,0,12,3,4,1,25,5,3,19,17,2,8
129,57,0,1,210,0,29,3,3,1,1,56,2,4,4,4,2,14118,22102,3,0,12,3,3,1,32,3,2,1,0,0,0
130,35,0,1,1214,1,1,3,1,2,1,30,2,1,1,3,0,2859,26278,1,0,18,3,1,0,6,3,3,6,4,0,4
131,45,0,1,1234,0,11,2,0,4,0,90,3,4,4,4,1,17650,5404,3,0,13,3,2,1,26,4,4,9,3,1,1
132,36,0,2,607,0,7,3,3,1,0,83,4,2,0,1,1,4639,2261,2,0,16,3,4,1,17,2,2,15,7,6,13
133,25,0,1,883,0,26,1,1,3,0,32,3,2,0,4,0,6180,22807,1,0,23,4,2,0,6,5,2,6,5,1,4
134,55,0,1,478,1,2,3,1,3,1,60,2,5,7,1,1,19038,19805,8,0,12,3,2,3,34,2,3,1,0,0,0
135,30,1,2,448,0,12,4,0,2,1,74,2,1,5,1,1,2033,14470,1,0,18,3,3,1,1,2,4,1,0,0,0
136,53,0,1,1219,0,2,4,0,1,0,78,2,4,4,4,1,15427,22021,2,0,16,3,3,0,31,3,3,25,8,3,7
137,37,0,2,889,1,9,3,1,2,1,53,3,1,1,4,1,2326,11411,1,1,12,3,3,3,4,3,2,4,2,1,2
138,26,1,1,1146,0,8,3,2,4,1,38,2,2,0,1,0,5326,3064,6,0,17,3,3,0,6,2,2,4,3,1,2
139,50,0,2,333,1,22,5,1,3,1,88,1,4,7,4,0,14411,24450,1,1,13,3,4,0,32,2,3,32,6,13,9
140,24,0,0,1269,1,4,1,0,1,1,46,2,1,2,4,1,3162,10778,0,0,17,3,4,0,6,2,2,5,2,3,4
141,55,0,1,452,1,1,3,1,4,1,81,3,5,4,1,0,19045,18938,0,1,14,3,3,0,37,2,3,36,10,4,13
142,37,0,1,571,1,10,1,0,4,0,82,3,1,1,1,2,2782,19905,0,1,13,3,2,2,6,3,2,5,3,4,3
143,38,1,1,1180,1,29,1,1,2,1,70,3,2,6,1,1,6673,11354,7,1,19,3,2,0,17,2,3,1,0,0,0
144,25,0,1,266,1,1,3,1,4,0,40,3,1,1,2,0,2096,18830,1,0,18,3,4,0,2,3,2,2,2,2,1
145,18,0,0,1431,1,14,3,1,2,0,33,3,1,1,3,0,1514,8018,1,0,16,3,3,0,0,4,1,0,0,0,0
146,46,0,1,150,1,2,4,2,4,1,60,3,2,3,4,2,7379,17433,2,0,11,3,3,1,12,3,2,6,3,1,4
147,27,0,1,1377,0,2,3,0,4,1,74,3,2,0,3,0,4478,5242,1,1,11,3,1,0,5,3,3,5,4,0,4
148,24,0,1,477,1,24,3,1,4,1,49,3,1,2,2,0,3597,6409,8,0,22,4,4,0,6,2,3,4,3,1,2
149,56,0,1,1369,1,23,3,0,4,1,68,3,4,3,2,1,13402,18235,4,1,12,3,1,1,33,0,3,19,16,15,9
150,31,1,2,534,1,20,3,0,1,1,66,3,3,6,3,1,9824,22908,3,0,12,3,1,0,12,2,3,1,0,0,0
151,30,0,1,1176,1,20,3,5,3,1,85,3,2,3,1,1,9957,9096,0,0,15,3,3,1,7,1,2,6,2,0,2
152,44,0,1,1199,1,4,2,0,3,1,92,4,5,4,1,2,19190,17477,1,0,14,3,4,2,26,4,2,25,9,14,13
153,41,0,1,167,1,12,4,0,2,1,46,3,1,2,4,1,4766,9051,3,1,11,3,1,1,6,4,3,1,0,0,0
154,36,0,2,1213,2,2,1,4,2,1,94,2,2,8,4,0,3886,4223,1,0,21,4,4,0,10,2,2,10,1,0,8
155,27,0,1,1054,1,8,3,1,3,0,67,3,1,1,4,0,3445,6152,1,0,11,3,3,0,6,5,2,6,2,1,4
156,51,0,1,1178,0,14,2,0,3,0,87,3,2,0,4,1,4936,14862,4,0,11,3,3,1,18,2,2,7,7,0,7
157,45,0,1,252,1,1,3,5,3,1,70,4,5,4,4,1,19202,15970,0,0,11,3,3,1,25,2,3,24,0,1,7
158,30,0,1,288,1,2,3,0,3,1,99,2,2,6,4,1,4152,15830,1,0,19,3,1,3,11,3,3,11,10,10,8
159,30,0,0,1400,1,3,3,0,3,1,53,3,1,2,4,1,2097,16734,4,0,15,3,3,1,9,3,1,5,3,1,4
160,25,0,1,309,2,2,3,4,3,0,82,3,1,8,2,1,2187,19655,4,0,14,3,3,0,6,3,3,2,0,1,2
161,38,0,1,1245,0,14,3,0,3,1,80,3,2,0,2,1,9924,12355,0,0,11,3,4,1,10,3,3,9,8,7,7
162,41,0,1,314,2,1,3,4,4,1,59,2,5,4,3,1,19189,19562,1,0,12,3,2,1,22,3,3,22,7,2,10
163,38,0,1,1380,1,9,2,0,3,0,75,3,1,2,4,0,2288,6319,1,0,12,3,3,0,2,3,3,2,2,2,1
164,31,0,0,325,1,5,3,1,2,1,74,3,2,3,1,0,9936,3787,0,0,19,3,2,0,10,2,3,9,4,1,7
165,37,0,2,663,1,11,3,5,2,1,47,3,3,7,4,2,12185,10056,1,1,14,3,3,3,10,1,3,10,8,0,7
166,30,0,1,317,1,2,3,0,3,0,43,1,2,3,4,0,6091,24793,2,0,20,4,3,0,11,2,3,5,4,0,2
167,36,0,0,635,0,10,4,1,2,1,32,3,3,0,4,0,9980,15318,1,0,14,3,4,0,10,3,2,10,3,9,7
168,36,0,1,1120,0,11,4,3,2,0,100,2,2,0,4,1,6652,14369,4,0,13,3,1,1,8,2,2,6,3,0,0
169,35,0,2,636,1,4,4,5,4,1,47,2,1,2,4,1,2376,26537,1,0,13,3,2,1,2,2,4,2,2,2,2
170,48,0,1,1355,1,4,4,0,3,1,78,2,3,6,3,0,10999,22245,7,0,14,3,2,0,27,3,3,15,11,4,8
171,56,1,1,1162,1,24,2,0,1,1,97,3,1,2,4,0,2587,10261,1,0,16,3,4,0,5,3,3,4,2,1,0
172,36,1,1,885,1,16,4,0,3,0,43,4,1,2,1,0,2743,8269,1,0,16,3,3,0,18,1,3,17,13,15,14
173,40,0,1,611,0,7,4,1,2,1,88,3,5,4,2,0,19833,4349,1,0,14,3,2,0,21,3,2,21,8,12,8
174,30,1,2,334,0,26,4,3,3,0,52,2,2,0,1,0,6696,22967,5,0,15,3,3,0,9,5,2,6,3,0,1
175,45,0,1,788,2,24,4,1,2,1,36,3,1,8,2,0,2177,8318,1,0,16,3,1,0,6,3,3,6,3,0,4
176,25,1,2,599,0,24,1,0,3,1,73,1,1,5,4,0,1118,8040,1,1,14,3,4,0,1,4,3,1,0,1,0
177,39,0,2,443,1,8,1,0,3,0,48,3,1,2,3,1,3755,17872,1,0,11,3,1,1,8,3,3,8,3,0,7
178,42,0,1,419,0,12,4,3,2,1,77,3,2,0,4,2,5087,2900,3,1,12,3,3,2,14,4,3,0,0,0,0
179,29,0,1,1396,0,10,3,0,3,1,99,3,1,5,3,0,2642,2755,1,0,11,3,3,0,1,6,3,1,0,0,0
180,45,0,1,538,1,1,4,2,1,1,66,3,3,6,2,2,7441,20933,1,0,12,3,1,3,10,4,3,10,8,7,7
181,35,0,1,1224,0,7,4,0,3,0,55,3,2,0,4,1,5204,13586,1,1,11,3,4,0,10,2,3,10,8,0,9
182,42,0,1,1210,1,2,3,1,3,1,68,2,1,2,2,1,4841,24052,4,0,14,3,2,1,4,3,3,1,0,0,0
183,49,0,1,271,1,3,2,1,3,0,43,2,2,2,1,1,4789,23070,4,0,25,4,1,1,10,3,3,3,2,1,2
184,38,0,1,1333,1,1,3,2,4,0,80,3,3,7,1,1,13582,16292,1,0,13,3,2,1,15,3,3,15,12,5,11
185,40,1,1,575,0,22,2,3,3,1,68,2,2,0,3,1,6380,6110,2,1,12,3,1,2,8,6,3,6,4,1,0
186,47,0,0,543,0,2,4,3,3,1,87,3,2,0,2,1,4978,3536,7,0,11,3,4,1,4,3,1,1,0,0,0
187,43,0,1,1034,0,16,3,3,4,0,80,3,4,4,4,1,16064,7744,5,1,22,4,3,1,22,3,3,17,13,1,9
188,33,1,2,827,1,29,4,1,1,0,54,2,2,1,3,0,4508,3129,1,0,22,4,2,0,14,4,3,13,7,3,8
189,29,0,1,1328,1,2,3,0,3,1,76,3,1,1,2,1,2703,4956,0,0,23,4,4,1,6,3,3,5,4,0,4
190,28,1,2,289,1,2,2,1,3,1,38,2,1,2,1,0,2561,5355,7,0,11,3,3,0,8,2,2,0,0,0,0
191,35,0,1,1142,1,23,4,1,3,0,30,3,1,2,1,1,4014,16002,3,1,15,3,3,1,4,3,3,2,2,2,2
192,20,0,1,959,1,1,3,0,4,0,83,2,1,1,2,0,2836,11757,1,0,13,3,4,0,1,0,4,1,0,0,0
193,36,0,1,1383,1,10,3,0,4,1,90,3,3,6,1,1,8321,25949,7,1,13,3,4,1,15,1,3,12,8,5,7
194,27,0,1,954,0,9,3,3,4,1,44,3,2,0,4,0,4105,5099,1,0,14,3,1,0,7,5,3,7,7,0,7
195,43,0,1,1179,0,2,3,1,4,1,73,3,2,0,4,1,7847,6069,1,1,17,3,1,1,10,3,3,10,9,8,8
196,42,0,1,1059,1,9,2,5,4,1,93,2,5,4,4,0,19613,26362,8,0,22,4,4,0,24,2,3,1,0,0,1
197,29,0,1,665,1,15,3,0,3,1,60,3,1,1,4,0,2340,22673,1,0,19,3,1,0,6,1,3,6,5,1,5
198,27,0,2,1297,1,5,2,0,4,0,53,3,1,2,4,0,2379,19826,0,1,14,3,3,0,6,3,2,5,4,0,2
199,43,0,1,782,1,6,4,5,2,1,50,2,4,7,4,2,16627,2671,4,1,14,3,3,1,21,3,2,1,0,0,0
200,47,0,1,1482,1,5,5,0,4,1,42,3,5,7,3,1,18300,16375,4,0,11,3,2,1,21,2,3,3,2,1,1
201,34,0,1,1354,1,5,3,1,3,0,45,2,3,4,1,0,11631,5615,2,0,12,3,4,0,14,6,3,11,10,5,8
202,50,1,1,410,0,28,3,3,4,1,39,2,3,0,1,2,10854,16586,4,1,13,3,2,1,20,3,3,3,2,2,0
